   0.0000000000000000       -0.0000000000000000     
   9.9990000999900015E-005   9.9975004665880723E-005
   1.9998000199980003E-004   1.9992001932935677E-004
   2.9997000299970003E-004   2.9983504798857338E-004
   3.9996000399960006E-004   3.9972009464094314E-004
   4.9995000499950004E-004   4.9957516328358971E-004
   5.9994000599940007E-004   5.9940025791301542E-004
   6.9993000699930009E-004   6.9919538252532273E-004
   7.9992000799920012E-004   7.9896054111610346E-004
   8.9991000899910015E-004   8.9869573768032831E-004
   9.9990000999900007E-004   9.9840097621245721E-004
   1.0998900109989000E-003   1.0980762607067727E-003
   1.1998800119987999E-003   1.1977215951568250E-003
   1.2998700129986998E-003   1.2973369835554320E-003
   1.3998600139985998E-003   1.3969224298953455E-003
   1.4998500149984997E-003   1.4964779381684739E-003
   1.5998400159983996E-003   1.5960035123665484E-003
   1.6998300169982995E-003   1.6954991564805684E-003
   1.7998200179981994E-003   1.7949648745010228E-003
   1.8998100189980994E-003   1.8944006704181126E-003
   1.9998000199979993E-003   1.9938065482213072E-003
   2.0997900209978994E-003   2.0931825118995656E-003
   2.1997800219977996E-003   2.1925285654416705E-003
   2.2997700229976997E-003   2.2918447128356719E-003
   2.3997600239975998E-003   2.3911309580688898E-003
   2.4997500249975000E-003   2.4903873051286864E-003
   2.5997400259974001E-003   2.5896137580014738E-003
   2.6997300269973002E-003   2.6888103206733740E-003
   2.7997200279972004E-003   2.7879769971300003E-003
   2.8997100289971005E-003   2.8871137913563452E-003
   2.9997000299970007E-003   2.9862207073370040E-003
   3.0996900309969008E-003   3.0852977490561716E-003
   3.1996800319968009E-003   3.1843449204973129E-003
   3.2996700329967011E-003   3.2833622256434936E-003
   3.3996600339966012E-003   3.3823496684773822E-003
   3.4996500349965013E-003   3.4813072529811368E-003
   3.5996400359964015E-003   3.5802349831361856E-003
   3.6996300369963016E-003   3.6791328629236690E-003
   3.7996200379962018E-003   3.7780008963242176E-003
   3.8996100389961019E-003   3.8768390873179545E-003
   3.9996000399960020E-003   3.9756474398844922E-003
   4.0995900409959022E-003   4.0744259580028251E-003
   4.1995800419958023E-003   4.1731746456516597E-003
   4.2995700429957024E-003   4.2718935068090822E-003
   4.3995600439956026E-003   4.3705825454526713E-003
   4.4995500449955027E-003   4.4692417655596067E-003
   4.5995400459954029E-003   4.5678711711064496E-003
   4.6995300469953030E-003   4.6664707660693623E-003
   4.7995200479952031E-003   4.7650405544239988E-003
   4.8995100489951033E-003   4.8635805401453956E-003
   4.9995000499950034E-003   4.9620907272081901E-003
   5.0994900509949035E-003   5.0605711195866208E-003
   5.1994800519948037E-003   5.1590217212541985E-003
   5.2994700529947038E-003   5.2574425361842569E-003
   5.3994600539946040E-003   5.3558335683491784E-003
   5.4994500549945041E-003   5.4541948217211710E-003
   5.5994400559944042E-003   5.5525263002720419E-003
   5.6994300569943044E-003   5.6508280079728725E-003
   5.7994200579942045E-003   5.7490999487942347E-003
   5.8994100589941046E-003   5.8473421267064120E-003
   5.9994000599940048E-003   5.9455545456789617E-003
   6.0993900609939049E-003   6.0437372096811522E-003
   6.1993800619938050E-003   6.1418901226815243E-003
   6.2993700629937052E-003   6.2400132886484419E-003
   6.3993600639936053E-003   6.3381067115494301E-003
   6.4993500649935055E-003   6.4361703953516158E-003
   6.5993400659934056E-003   6.5342043440219507E-003
   6.6993300669933057E-003   6.6322085615263269E-003
   6.7993200679932059E-003   6.7301830518306802E-003
   6.8993100689931060E-003   6.8281278188999980E-003
   6.9993000699930061E-003   6.9260428666992014E-003
   7.0992900709929063E-003   7.0239281991922638E-003
   7.1992800719928064E-003   7.1217838203432001E-003
   7.2992700729927066E-003   7.2196097341149703E-003
   7.3992600739926067E-003   7.3174059444703543E-003
   7.4992500749925068E-003   7.4151724553716287E-003
   7.5992400759924070E-003   7.5129092707804492E-003
   7.6992300769923071E-003   7.6106163946581869E-003
   7.7992200779922072E-003   7.7082938309653752E-003
   7.8992100789921065E-003   7.8059415836624806E-003
   7.9992000799920058E-003   7.9035596567091325E-003
   8.0991900809919051E-003   8.0011480540646725E-003
   8.1991800819918043E-003   8.0987067796877196E-003
   8.2991700829917036E-003   8.1962358375365987E-003
   8.3991600839916029E-003   8.2937352315691371E-003
   8.4991500849915021E-003   8.3912049657425391E-003
   8.5991400859914014E-003   8.4886450440136117E-003
   8.6991300869913007E-003   8.5860554703386608E-003
   8.7991200879911999E-003   8.6834362486734804E-003
   8.8991100889910992E-003   8.7807873829733613E-003
   8.9991000899909985E-003   8.8781088771930899E-003
   9.0990900909908978E-003   8.9754007352869404E-003
   9.1990800919907970E-003   9.0726629612087936E-003
   9.2990700929906963E-003   9.1698955589119141E-003
   9.3990600939905956E-003   9.2670985323491713E-003
   9.4990500949904948E-003   9.3642718854728187E-003
   9.5990400959903941E-003   9.4614156222348218E-003
   9.6990300969902934E-003   9.5585297465863115E-003
   9.7990200979901926E-003   9.6556142624784607E-003
   9.8990100989900919E-003   9.7526691738612781E-003
   9.9990000999899912E-003   9.8496944846848174E-003
   1.0098990100989890E-002   9.9466901988984040E-003
   1.0198980101989790E-002   1.0043656320450969E-002
   1.0298970102989689E-002   1.0140592853290829E-002
   1.0398960103989588E-002   1.0237499801365792E-002
   1.0498950104989488E-002   1.0334377168623383E-002
   1.0598940105989387E-002   1.0431224959010398E-002
   1.0698930106989286E-002   1.0528043176473352E-002
   1.0798920107989185E-002   1.0624831824958141E-002
   1.0898910108989085E-002   1.0721590908410048E-002
   1.0998900109988984E-002   1.0818320430774070E-002
   1.1098890110988883E-002   1.0915020395994696E-002
